State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment,formattedState,formattedCounty
Alabama,autauga,55036,2.7,75.4,18.9,0.3,0.9,0.0,55317,27824,13.7,5.2,alabama,autauga
Alabama,baldwin,203360,4.4,83.1,9.5,0.8,0.7,0.0,52562,29364,11.8,5.5,alabama,baldwin
Alabama,barbour,26201,4.2,45.7,47.8,0.2,0.6,0.0,33368,17561,27.2,12.4,alabama,barbour
Alabama,bibb,22580,2.4,74.6,22.0,0.4,0.0,0.0,43404,20911,15.2,8.2,alabama,bibb
Alabama,blount,57667,9.0,87.4,1.5,0.3,0.1,0.0,47412,22021,15.6,4.9,alabama,blount
Alabama,bullock,10478,0.3,21.6,75.6,1.0,0.7,0.0,29655,20856,28.5,12.1,alabama,bullock
Alabama,butler,20126,0.3,52.2,44.7,0.1,1.1,0.0,36326,19004,24.4,7.6,alabama,butler
Alabama,calhoun,115527,3.6,72.7,20.4,0.2,1.0,0.0,43686,23638,18.6,10.1,alabama,calhoun
Alabama,chambers,33895,2.2,56.2,39.3,0.3,1.0,0.0,37342,22002,18.8,6.4,alabama,chambers
Alabama,cherokee,25855,1.6,91.8,5.0,0.5,0.1,0.0,40041,23010,16.1,5.3,alabama,cherokee
Alabama,chilton,43805,7.7,80.4,9.5,0.4,0.4,0.0,43501,23368,19.4,6.7,alabama,chilton
Alabama,choctaw,13188,0.5,56.3,42.1,0.0,0.1,0.0,32122,20994,22.3,9.8,alabama,choctaw
Alabama,clarke,24625,0.2,53.0,45.7,0.1,0.5,0.1,33827,20765,25.3,15.2,alabama,clarke
Alabama,clay,13407,3.1,80.2,14.7,0.9,0.0,0.0,37287,21330,19.1,6.4,alabama,clay
Alabama,cleburne,14939,2.4,92.7,2.8,0.3,0.5,0.0,37396,20873,19.1,7.8,alabama,cleburne
Alabama,coffee,51073,6.7,71.0,17.1,1.0,1.3,0.0,49821,26216,16.1,6.0,alabama,coffee
Alabama,colbert,54435,2.4,78.8,15.9,0.7,0.5,0.0,45477,23675,16.8,6.9,alabama,colbert
Alabama,conecuh,12649,1.8,50.3,46.3,0.2,0.0,0.0,30434,16337,26.4,14.5,alabama,conecuh
Alabama,coosa,10955,0.1,65.3,33.2,0.1,0.0,0.0,34792,20342,14.4,11.3,alabama,coosa
Alabama,covington,37519,1.6,83.5,13.0,0.3,0.4,0.0,39467,22431,17.6,10.7,alabama,covington
Alabama,crenshaw,13866,1.8,71.2,23.1,0.8,1.4,0.0,38937,21580,17.6,6.4,alabama,crenshaw
Alabama,cullman,81703,4.2,92.3,1.1,0.4,0.6,0.0,40997,21857,16.4,5.8,alabama,cullman
Alabama,dale,49393,6.1,69.5,19.2,0.5,0.9,0.0,44711,23194,19.6,10.4,alabama,dale
Alabama,dallas,40755,1.0,27.7,70.2,0.0,0.4,0.0,30065,18248,31.9,13.7,alabama,dallas
Alabama,dekalb,71194,14.3,80.8,1.4,1.2,0.3,0.1,38842,20020,21.5,5.1,alabama,dekalb
Alabama,elmore,80989,2.9,73.4,21.2,0.3,0.6,0.0,54981,26251,13.5,7.3,alabama,elmore
Alabama,escambia,37621,2.2,60.2,32.2,3.6,0.4,0.1,35026,18164,23.8,13.7,alabama,escambia
Alabama,etowah,103132,3.7,78.3,15.4,0.5,0.7,0.1,42064,22278,17.9,7.6,alabama,etowah
Alabama,fayette,16657,1.7,85.0,11.5,0.0,0.5,0.0,36541,21191,18.1,8.4,alabama,fayette
Alabama,franklin,31507,16.3,77.7,4.7,0.2,0.4,0.1,39501,19314,23.0,8.2,alabama,franklin
Alabama,geneva,26572,3.8,84.0,9.2,0.6,0.4,0.0,39293,21084,22.5,8.9,alabama,geneva
Alabama,greene,8533,1.2,17.1,80.3,0.6,0.0,0.0,20954,14197,38.8,14.8,alabama,greene
Alabama,hale,14995,1.3,39.5,58.7,0.2,0.2,0.0,34679,20269,26.1,11.7,alabama,hale
Alabama,henry,17110,2.5,68.7,27.8,0.0,0.0,0.0,45569,23983,13.7,6.7,alabama,henry
Alabama,houston,104108,3.2,67.2,26.5,0.3,0.8,0.0,42803,24781,18.5,7.6,alabama,houston
Alabama,jackson,52326,2.9,89.3,3.2,1.0,0.5,0.1,39281,20946,19.0,7.7,alabama,jackson
Alabama,jefferson,659460,3.7,50.4,42.4,0.2,1.5,0.0,49321,29456,17.6,7.7,alabama,jefferson
Alabama,lamar,14021,1.5,86.0,10.8,0.3,0.0,0.0,36016,21152,23.1,7.9,alabama,lamar
Alabama,lauderdale,92590,2.5,84.9,9.8,0.4,0.7,0.0,44888,25803,16.3,6.6,alabama,lauderdale
Alabama,lawrence,33288,2.1,76.6,11.4,5.2,0.1,0.0,43779,22419,16.6,7.2,alabama,lawrence
Alabama,lee,156597,3.7,67.6,22.9,0.1,3.8,0.0,47564,26170,22.0,5.7,alabama,lee
Alabama,limestone,91695,5.8,77.2,13.1,0.7,1.2,0.0,52831,26685,14.8,7.1,alabama,limestone
Alabama,lowndes,10362,0.7,24.3,74.4,0.1,0.0,0.0,29785,18976,30.2,11.2,alabama,lowndes
Alabama,macon,19358,1.6,15.5,81.5,0.2,0.2,0.0,32308,19564,25.9,14.5,alabama,macon
Alabama,madison,353213,4.7,65.1,24.0,0.6,2.5,0.1,61318,34232,13.6,6.5,alabama,madison
Alabama,marengo,19743,0.4,45.1,54.1,0.1,0.0,0.0,32255,22996,25.6,12.8,alabama,marengo
Alabama,marion,30058,2.5,91.9,3.2,0.4,0.3,0.0,35719,21835,17.6,5.5,alabama,marion
Alabama,marshall,94738,13.3,81.8,2.2,0.5,0.6,0.1,41104,22710,21.0,6.5,alabama,marshall
Alabama,mobile,414328,2.8,57.5,35.2,0.6,1.9,0.0,45802,24347,19.3,7.5,alabama,mobile
Alabama,monroe,21745,1.3,54.5,40.8,1.3,0.5,0.0,26036,17264,33.7,21.6,alabama,monroe
Alabama,montgomery,227120,3.4,35.2,57.1,0.1,2.4,0.0,46545,26712,20.8,7.6,alabama,montgomery
Alabama,morgan,119157,8.0,76.4,12.3,0.5,0.7,0.0,47529,25013,16.6,6.5,alabama,morgan
Alabama,perry,9680,0.7,29.4,69.6,0.1,0.2,0.0,22973,13449,41.9,11.8,alabama,perry
Alabama,pickens,20170,4.1,54.1,40.5,0.1,0.1,0.0,36220,20089,22.9,12.2,alabama,pickens
Alabama,pike,33287,0.8,56.4,37.9,0.6,2.2,0.0,35684,20808,26.3,8.7,alabama,pike
Alabama,randolph,22530,3.0,75.3,19.4,0.2,0.2,0.2,39485,20983,18.7,5.8,alabama,randolph
Alabama,russell,58480,5.2,47.8,42.4,0.4,0.7,0.2,38988,21279,20.9,9.7,alabama,russell
Alabama,st. clair,86937,2.3,86.2,9.3,0.2,0.8,0.0,53483,24686,13.7,5.8,alabama,stclair
Alabama,shelby,208721,5.8,78.5,11.7,0.2,1.9,0.0,74063,35330,8.3,4.3,alabama,shelby
Alabama,sumter,13084,0.3,24.6,70.7,0.5,3.0,0.0,21663,14739,36.0,13.4,alabama,sumter
Alabama,talladega,80888,2.2,63.1,32.1,0.3,0.6,0.0,39219,21382,19.3,10.0,alabama,talladega
